Degerlendirme Puani,Basvuru Yili,Dogum Tarihi,Burslu ise Burs Yuzdesi,Stk Projesine Katildiniz Mi?,id,Dogum Yeri,Ikametgah Sehri,Universite Kacinci Sinif,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Bolum Diger,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari,Uye Oldugunuz Kulubun Ismi,Hangi STK'nin Uyesisiniz?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite",Degerlendirme Puani (1),Degerlendirme Puani (error),Selected,Cinsiyet,Universite Adi,Universite Turu,Burs Aliyor mu?,Bölüm,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Turu,Lise Bolumu,Lise Mezuniyet Notu,Baska Bir Kurumdan Burs Aliyor mu?,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Ingilizce Biliyor musunuz?,Basvuru Yasi
7.0,2021,2001.0,,,51824,Kayseri,Kayseri,,Musreffer hasan eser mesleki ve teknik Anadolu lisesi,,Kayseri,,,,,,,,,14.0312,7.03119,No,Kadin,20 - 25,Devlet,Hayir,20 - 25,1.00 - 2.50,,Devlet,Sozel,75 - 100,Hayir,Ilkokul,,Ozel Sektor,Ilkokul,,,4.0,Hayir,Hayir,,,,Hayir,20.0
58.0,2016,1996.0,50.0,Evet,6855,Diyarbakir,Istanbul,,sezai karakoc anadolu lisesi,,Diyarbakir,,,,istanbul kemerburgaz universitesi munazara kulubu,,,Orta,,58.6233,0.623257,No,Kadin,Diğer,Ozel,Evet,35 - 40,Hazırlığım,Hayir,Devlet,Sayisal,,Hayir,Ilkokul,Hayir,,Lise,Emekli,,4.0,Evet,Hayir,,Hayir,Hayir,Evet,20.0
10.0,2020,2000.0,,,46117,Adana,Amasya,,Adana,,,,,,,,,,,10.1894,0.189365,No,Kadin,25 - 30,Devlet,Hayir,35 - 40,1.00 - 2.50,,,Sayisal,,Hayir,Ilkokul,Hayir,,Lise,Hayir,,3.0,,Evet,,Hayir,Hayir,Hayir,20.0
15.0,2020,1999.0,75.0,,5756,Kars,Yozgat,,Bogazici temel lisesi,,Istanbul,,,,,,,,,22.1003,7.1003,No,Kadin,30 - 35,Ozel,Evet,Diğer,2.50 - 2.99,,Ozel,Sayisal,75 - 100,Hayir,Ortaokul,Hayir,,Ortaokul,Evet,Ozel Sektor,3.0,Hayir,Evet,Diger,Hayir,Hayir,Evet,21.0
41.0,2017,1996.0,,Evet,33473,Konya,Samsun,,TED Konya Koleji,,Konya,,Turk Egitim Vakfi,Turk lirasi,"Ondokuz Mayis Universitesi IEEE Ogrenci kulubu, Ucak ve Uzay Muhendisligi Toplulugu",,,Ileri,,36.6252,4.37485,No,Erkek,25 - 30,Devlet,Hayir,Diğer,2.50 - 2.99,,Ozel,Sayisal,75 - 100,Evet,Ilkokul,Hayir,,Ortaokul,Evet,Ozel Sektor,2.0,Evet,Hayir,,Hayir,Evet,Evet,21.0
58.0,2016,1995.0,,Hayir,22474,Adana,Istanbul,,Ozel Adana Gundogdu Fen Lisesi,,Adana,,,,TurkMSIC ve Voleybol,,,Orta,,59.6759,1.67595,No,Erkek,50 - 55,Devlet,Hayir,35 - 40,2.50 - 2.99,Hayir,Devlet,Sayisal,,Hayir,Ortaokul,Hayir,,Universite,Emekli,,1.0,Evet,Hayir,,Hayir,Hayir,Evet,21.0
22.0,2014,1994.0,0.0,,11127,turgutlu/ manisa,Manisa,,niyazi uzmez lisesi,,manisa,,,,,,,,,35.4436,13.4436,No,Kadin,25 - 30,Devlet,Evet,30 - 35,2.50 ve altı,Hayir,Devlet,Sayisal,75 - 100,Hayir,Ortaokul,Hayir,Ozel Sektor,,,,,,,,,,,20.0
30.0,2015,1993.0,0.0,Evet,18693,Hatay,Mersin,,,Antakya Nimet Fahri oksuz lisesi,Hatay,,,,,,,Orta,,26.8782,3.12176,No,Kadin,25 - 30,Devlet,Hayir,30 - 35,2.50 ve altı,Hayir,Devlet,Esit Agirlik,75 - 100,Hayir,Lise,Evet,Diger,Ortaokul,Evet,Diger,2.0,Hayir,Hayir,,Hayir,Hayir,Evet,22.0
27.0,2021,1999.0,,,48247,Bitlis,Bitlis,,Tatvan Fen Lisesi,,Bitlis,,Kyk,ve uzeri,,,,,,14.7839,12.2161,No,Kadin,20 - 25,Devlet,Hayir,Diğer,3.00 - 3.49,,Diğer,Esit Agirlik,75 - 100,Evet,Ilkokul,,,Ilkokul,,Kamu,1.0,Hayir,Hayir,,,,Evet,22.0
9.0,2019,2000.0,,Hayir,38223,Adana,Adana,,Toki koprulu anadolu lisesi,,Adana,,,,,,,,,19.5498,10.5498,No,Kadin,15 - 20,Devlet,Hayir,20 - 25,2.50 - 2.99,Hayir,Devlet,Sayisal,75 - 100,Hayir,Ilkokul,Hayir,,Ilkokul,Hayir,,3.0,Hayir,Hayir,,Hayir,Hayir,Hayir,19.0
12.0,2021,1999.0,,,57124,Izmir,Erzurum,,Lutfu urkmez mesleki ve teknik Anadolu lisesi,,Izmir,,,,,,,,,16.7924,4.79238,No,Kadin,20 - 25,Devlet,Hayir,20 - 25,3.50 - 4.00,,Devlet,Sozel,50 - 74,Hayir,Egitimi yok,,,Ilkokul,,,2.0,Hayir,Hayir,,,,Evet,22.0
27.0,2019,1998.0,,Evet,39913,Trabzon,Karabuk,,Erdogdu,,Trabzon,,Vakiflar genel mudurlugu,,,,,Baslangic,,22.7981,4.20187,No,Kadin,20 - 25,Devlet,Hayir,Diğer,2.50 ve altı,Hayir,Devlet,Esit Agirlik,84-70,Evet,Ilkokul,Evet,Diger,Ortaokul,Hayir,,2.0,Evet,Hayir,,Hayir,Evet,Evet,21.0
32.0,2022,2003.0,,,61190,Samsun,Giresun,,Ali Fuat Basgil Anadolu Lisesi,,Samsun,,,,,Daha once down sendromlu ve engelli cocuklarin eglencesinde cocuklara ogretmenlik yapmada gorev aldim ve Giresun maraton kosusunda gorev aldim,,,,40.3814,8.38144,No,Kadin,45 - 50,Devlet,Hayir,35 - 40,2.50 - 2.99,,Devlet,Esit Agirlik,75 - 100,Hayir,Ilkokul,Hayir,,Lise,Hayir,,2.0,Hayir,Evet,Bireysel Spor,Evet,Hayir,Evet,19.0
22.0,2019,1997.0,,Evet,36347,Istanbul,Sakarya,,Nevzat Ayaz Anadolu Lisesi,,Istanbul,,,,,,,Baslangic,SAKARYA UNIVERSITESI,9.72761,12.2724,No,Kadin,25 - 30,Devlet,Hayir,20 - 25,2.50 ve altı,Evet,Devlet,Sayisal,84-70,Hayir,Lise,Hayir,,Ortaokul,Evet,Ozel Sektor,3.0,Hayir,Hayir,,Hayir,Hayir,Evet,22.0
12.0,2014,1989.0,0.0,,10953,Sirnak,Istanbul,Mezun,nusaybin yabanci dil agirlikli lise,,mardin,,,,,,,,,23.9027,11.9027,No,Erkek,25 - 30,Devlet,Hayir,Diğer,2.50 ve altı,Evet,Devlet,Sayisal,75 - 100,Hayir,Egitimi yok,Hayir,,,,,,,,,,,,25.0
35.0,2022,2001.0,,,60676,Istanbul,Istanbul,,Bahcelievler Dede Korkut Anadolu Lisesi,,Istanbul,,Kyk,,,Gonullu olarak kutuphanede ve bilim etkinlerinde gorev aldim,,,,36.281,1.28097,No,Kadin,30 - 35,Devlet,Hayir,35 - 40,Hazırlığım,,Devlet,Sayisal,75 - 100,Evet,Egitimi yok,Hayir,,Ilkokul,Hayir,,4.0,Hayir,Evet,Bireysel Spor,Evet,Hayir,Evet,21.0
30.0,2021,2000.0,100.0,,4483,Ankara,Ankara,,Kocatepe Mimar Kemal Anadolu Lisesi,,Ankara,,,,,,,,,26.1607,3.83934,No,Kadin,35 - 40,Ozel,Evet,30 - 35,3.50 - 4.00,,Diğer,Esit Agirlik,75 - 100,Hayir,Lise,,Ozel Sektor,Lise,,,1.0,Hayir,Hayir,,,,Evet,21.0
51.0,2020,1970.0,75.0,,5675,Istanbul,Istanbul,,Taksim Tesvikiye Lisesi,,Istanbul,,,,,,Dijital ortamda anneme destek olmak icin urunlerinin pazarlamasina yardimci oldum,,,51.3439,0.343871,No,Kadin,35 - 40,Ozel,Evet,35 - 40,3.00 - 3.49,,Ozel,Sayisal,75 - 100,Hayir,Lise,Hayir,,Lise,Evet,Diger,0.0,Evet,Evet,Diger,Hayir,Evet,Evet,Gelecekten
24.0,2017,1996.0,25.0,Hayir,9815,Istanbul,Izmir,Hazirlik,Bodrum Anadolu Lisesi,,Mugla,,,,"Endustri sistemleri toplulugu,Latin Danslari Kulubu,Estiem",,,Ileri,,34.2988,10.2988,No,Erkek,35 - 40,Ozel,Evet,30 - 35,Hazırlığım,,Devlet,Sayisal,50 - 74,Hayir,Universite,Emekli,,Lise,Emekli,,0.0,Evet,Evet,Diger,Hayir,Hayir,Evet,21.0
6.0,2017,1997.0,,Hayir,32890,Ordu,Ordu,,Catalpinar cok programli lisesi,,Ordu,Muhasebe ve finasman,,,,,,,,7.93094,1.93094,No,Erkek,20 - 25,Devlet,Hayir,25 - 30,2.50 ve altı,,Devlet,Diger,50 - 74,Hayir,Egitimi yok,Hayir,,Ilkokul,Hayir,,1.0,Hayir,Hayir,,Hayir,Hayir,Hayir,20.0
24.0,2014,1993.0,0.0,Evet,10807,Kayseri,Ankara,,Elvankent Bilgi Anadolu Lisesi,,Ankara,,,,,,"Ilkokulda pazarlarda su standi actim. Gayet eglenceli ve kazancli bir isti. Sonra 3 yil ogrenciyken garsonluk yaptim . Burada da bir cok projeye imza attim bulundugum cafenin musteri potansiyelini cok daha fazla arttirdim. Bulundugum isletmeye duzenli gitmesm bile her konuda fikir danisilan oldum. Ankara da yagmur yagdigi an ostimden aldigim semsiyeleri metro onlerinde sattim . En buyuk projem ise hersey planlanmis olan bulundugum semtte acacagim ufak bir cigkofte cafe , herseyiyle planlanmis bir duzen muhtesem isleyen bir mekanizda sandalyelerine kadar hazir. Cok az kaldi hedefe durmadan devam : hem ogrenci hem girisimci olacagim .Kisacasi bir ise girismeden duramiyorum",,,20.453,3.54696,No,Erkek,25 - 30,Devlet,Hayir,25 - 30,2.50 - 2.99,Hayir,Devlet,Esit Agirlik,75 - 100,Hayir,Universite,Emekli,Diger,Universite,Evet,Kamu,1.0,Hayir,Hayir,,Hayir,Evet,,21.0
11.0,2017,1996.0,,,30912,Tekirdag,Karabuk,,pasa karaca anadolu ogretmen lisesi,,Hatay,,,,,,,,,11.8368,0.836793,No,Kadin,20 - 25,Devlet,Hayir,30 - 35,2.50 - 2.99,,Devlet,Sayisal,75 - 100,Hayir,,,,,,,,,,,,,Hayir,21.0
64.0,2017,1994.0,,Evet,27825,Istanbul,Istanbul,,Cagaloglu Anadolu Lisesi,,Istanbul,,,,ITU Isletme Muhendisligi Kulubu,,,Ileri,,57.6021,6.39793,No,Erkek,35 - 40,Devlet,Hayir,45 - 50,2.50 ve altı,,Devlet,Sayisal,84-70,Hayir,Universite,Hayir,,Lise,Evet,Ozel Sektor,1.0,Evet,Evet,Diger,Evet,Evet,Evet,23.0
48.0,2017,1993.0,,Evet,32651,Istanbul,Istanbul,,Kuleli Askeri lisesi,,Istanbul,,KYK,,Bogazici Isletme Klubu,,,Ileri,,43.9346,4.0654,No,Erkek,40 - 45,Devlet,Hayir,35 - 40,3.00 - 4.00,,Devlet,Sayisal,75 - 100,Evet,Ilkokul,Hayir,,Ilkokul,Hayir,,5.0,Evet,Hayir,,Hayir,Evet,Evet,24.0
16.0,2015,1992.0,0.0,Hayir,21239,Samsun,Izmir,,,Torbali Anadolu Lisesi,Izmir,,,,,,,Orta,,16.1647,0.164722,No,Erkek,20 - 25,Devlet,Hayir,35 - 40,3.00 - 3.49,Evet,Devlet,Sozel,50 - 74,Hayir,Ortaokul,Hayir,,Universite,Evet,Kamu,3.0,Hayir,Hayir,,Hayir,Hayir,Evet,23.0
51.0,2020,1998.0,,,46355,Istanbul,Adana,,Buyukcekmece Ataturk Anadolu lisesi,,Istanbul,,,,,,Bir tane crypto coin projem ve son olarak uzerinde hala calistigim bir ilan sitem var. AliciBurada'da alicilar ilan veriyor. Fakat yeteri kadar maddi destegim olmadigi ve bir mentora sahip olamadigim icin ne yazik ki basarili bir sekilde goturemiyorum,,,48.3661,2.63386,No,Erkek,40 - 45,Ozel,Hayir,40 - 45,1.80 - 2.49,,Diğer,Sayisal,75 - 100,Hayir,Lise,Hayir,,Universite,Hayir,,0.0,Hayir,Evet,Diger,Hayir,Evet,Evet,22.0
54.0,2022,2000.0,,,58000,Aksaray,Aksaray,,Aksaray Anadolu Ogretmen Lisesi,,Aksaray,,,,,Kizilay kan toplama ve AKUT egitimine katilma,,,,51.2831,2.71685,No,Erkek,45 - 50,Devlet,Hayir,35 - 40,3.50 - 4.00,,Devlet,Esit Agirlik,75 - 100,Hayir,Lise,Hayir,,Universite,Hayir,,1.0,Evet,Evet,Bireysel Spor,Evet,Hayir,Evet,22.0
47.0,2022,2000.0,,,58836,Samsun,Istanbul,,Prof. Dr. Mumtaz Turhan Sosyal Bilimler Lises,,Istanbul,,,,,Project Virtious Triangle suriyeli cocuklara turkce ogretme ve onlari Turkiye kulturuyle butunlestirmek amacli projede 2 yil gonullu olarak yer aldim. Kizilay hatira ormani etkinliginde Ankara’da belirli bolgelere fidan dikerek o bolgeyi agaclandirdik. Hacettepe LOSEV kulubunde yer alarak haftada bir kez olmak uzere gonullu faaliyetlerde bulundum,,,,44.8224,2.17761,No,Kadin,45 - 50,Devlet,Hayir,30 - 35,3.00 - 3.49,,Devlet,Esit Agirlik,75 - 100,Hayir,Ortaokul,Evet,Ozel Sektor,Ilkokul,Evet,Ozel Sektor,3.0,Evet,Evet,Takim Oyuncusu,Evet,Hayir,Evet,22.0
60.0,2016,1994.0,,Hayir,24044,Istanbul,Istanbul,,Fatih Vatan Lisesi,,Istanbul,,,,Siyaset Bilimi ve Uluslararasi Iliskiler kulubu,Toplum Gonulluleri Beyazit,,Orta,,71.0545,11.0545,No,Erkek,50 - 55,Devlet,Hayir,35 - 40,2.50 - 2.99,Hayir,Devlet,Esit Agirlik,,Hayir,Ortaokul,Hayir,,Ortaokul,Emekli,,1.0,Evet,Hayir,,Evet,Hayir,Evet,22.0
37.0,2015,1992.0,0.0,Evet,17693,Mersin,Izmir,,,bozyazi anadolu lisesi,Mersin,,,,,tog,,Baslangic,,27.2025,9.79753,No,Erkek,25 - 30,Devlet,Hayir,30 - 35,2.50 ve altı,Hayir,Devlet,Sayisal,75 - 100,Hayir,Ilkokul,Hayir,,Ilkokul,Hayir,,2.0,Hayir,Hayir,,Evet,Hayir,Evet,23.0
37.0,2019,1999.0,,Evet,36665,Izmir,Izmir,,Hatay Fen Bilimleri Temel Lisesi,,Izmir,,,,,Tema,,Orta,,41.4,4.40002,No,Kadin,20 - 25,Devlet,Hayir,20 - 25,2.50 ve altı,Hayir,Ozel,Sayisal,75 - 100,Hayir,Lise,Evet,Diger,Universite,Evet,Kamu,1.0,Evet,Hayir,,Evet,Hayir,Evet,20.0
56.0,2017,1994.0,,Evet,30981,Nevsehir,Antalya,,urgup anadolu lisesi,,Nevsehir,,,,antik kulturler toplulugi,,,Ileri,,56.8315,0.831489,No,Kadin,25 - 30,Devlet,Hayir,30 - 35,3.00 - 4.00,,Devlet,Sayisal,75 - 100,Hayir,Ilkokul,Hayir,,Ilkokul,Emekli,,2.0,Evet,Hayir,,Evet,Evet,Evet,23.0
20.0,2021,1999.0,,,55313,Gaziantep,Yalova,,Sile Oya Ali Osman Kecici Sosyal Bilimler Lisesi,,Istanbul,,,,,,,,,24.4911,4.49107,No,Kadin,25 - 30,Devlet,Hayir,35 - 40,3.00 - 3.49,,Diğer,Esit Agirlik,75 - 100,Hayir,Ilkokul,,Ozel Sektor,Ilkokul,,,1.0,Hayir,Hayir,,,,Evet,22.0
20.0,2021,2001.0,,,48558,Istanbul,Istanbul,,Maltepe Orhangazi Anadolu imam hatip lisesi,,Istanbul,,kyk bursu,ve uzeri,,,,,,33.9494,13.9494,No,Erkek,25 - 30,Devlet,Hayir,Diğer,2.50 - 2.99,,Diğer,Sayisal,75 - 100,Evet,Egitimi yok,,,Egitimi yok,,,3.0,Evet,Hayir,,,,Evet,20.0
39.0,2015,1994.0,0.0,Evet,17426,Corum,Corum,,,SAMSUN AZIZ ATIK FEN LISESI,Samsun,,,,,,,Orta,,21.5345,17.4655,No,Kadin,25 - 30,Devlet,Hayir,Diğer,2.50 - 2.99,Hayir,Devlet,Sayisal,75 - 100,Hayir,Egitimi yok,Hayir,,Lise,Emekli,,3.0,Hayir,Hayir,,Hayir,Hayir,Evet,21.0
7.0,2021,2001.0,,,52747,Ankara,Ankara,,Turk Telekom Mesleki ve Teknik Anadolu Lisesi,,Ankara,,,,,,,,,16.3894,9.38939,No,Kadin,25 - 30,Devlet,Hayir,30 - 35,3.00 - 3.49,,Devlet,Sozel,50 - 74,Hayir,Lise,,Ozel Sektor,Lise,,Ozel Sektor,0.0,Hayir,Hayir,,,,Evet,20.0
19.0,2019,1999.0,,Hayir,41139,Samsun,Ordu,,Gazi Anadolu,,Samsun,,,,,,,Baslangic,,22.8187,3.81871,No,Kadin,20 - 25,Devlet,Hayir,30 - 35,2.50 - 2.99,Hayir,Devlet,Esit Agirlik,84-70,Hayir,Ortaokul,Evet,Ozel Sektor,Ortaokul,Evet,Ozel Sektor,1.0,Evet,Hayir,,Hayir,Hayir,Evet,20.0
16.0,2017,1996.0,,Hayir,33743,Ankara,Elazig,,Umitkoy Anadolu lisesi,,Ankara,,,,,,,Orta,,18.7953,2.79529,No,Kadin,20 - 25,Devlet,Hayir,25 - 30,3.00 - 4.00,,Devlet,Sayisal,75 - 100,Hayir,Ilkokul,Hayir,,Universite,Emekli,,2.0,Hayir,Hayir,,Hayir,Hayir,Evet,21.0
35.0,2020,2000.0,,,43537,Samsun,Istanbul,Hazirlik,Armada Koleji,,Samsun,,,,,,,,,37.2443,2.24425,No,Kadin,20 - 25,Devlet,Hayir,30 - 35,3.00 - 3.49,,Ozel,Esit Agirlik,75 - 100,Hayir,Universite,Evet,Ozel Sektor,Universite,Evet,Ozel Sektor,2.0,Evet,Evet,Diger,Hayir,Hayir,Evet,20.0
24.0,2017,1998.0,,Evet,32988,Yozgat,Yozgat,,Anadolu Ogretmen Lisesi,,Yozgat,,,,,,,Baslangic,,14.3966,9.60344,No,Kadin,20 - 25,Devlet,Hayir,30 - 35,3.00 - 3.49,,Devlet,Esit Agirlik,84-70,Hayir,Ilkokul,Hayir,,Lise,Evet,Kamu,2.0,Hayir,Hayir,,Hayir,Hayir,Evet,19.0
31.0,2022,2000.0,,,61456,Kastamonu,Istanbul,,Gol Anadolu Lisesi,,Kastamonu,,,,,Okulumda bulunan E-Biltek(Egitimde Bilisim Teknolojileri) kulubunde gonullu olarak yonetim kurulundaydim. Ayrica Tema Vakfi’na uyeyim ve faaliyetlerine katilmaya calisiyorum,,,,37.3463,6.34625,No,Kadin,50 - 55,Devlet,Hayir,30 - 35,3.50 - 4.00,,Devlet,Sayisal,75 - 100,Hayir,Lise,Evet,Kamu,Ilkokul,Evet,Kamu,1.0,Evet,Hayir,,Evet,Hayir,Evet,22.0
48.0,2022,2001.0,,,58686,Hatay,Istanbul,,Nihal Turgut Anlar Anadolu Lisesi,,Hatay,,"KYK, ITU GV, LISES Vakfi",ve ustu,,"ITU Gonulluluk Kulubu Umut Okulu Projesinde aktifim, dezavantajli okullara kirtasiye yardimi yapiyoruz. Bu okullardan bazilarina ise direkt gidip cocuklara onlari eglendirerek egitimler veriyoruz",Sene icinde duzenlenen bir ideathonda 3. olduk. Teknoparkta ofis ve 3000 TL nakit para kazandik. Onumuzdeki gunlerde bu projeyi hayata gecirmeyi dusunuyoruz,,,45.2237,2.7763,No,Erkek,50 - 55,Devlet,Hayir,45 - 50,2.50 - 2.99,,Devlet,Sayisal,75 - 100,Evet,Ortaokul,Hayir,,Universite,Evet,Kamu,2.0,Evet,Hayir,,Evet,Evet,Evet,21.0
32.0,2015,1994.0,50.0,Hayir,6661,Izmir,Istanbul,,Incirli Lisesi,Gurcesme Anadolu Lisesi,Izmir,,,,,,,Orta,,35.2004,3.2004,No,Kadin,25 - 30,Ozel,Evet,30 - 35,2.50 ve altı,Hayir,Devlet,Sayisal,75 - 100,Hayir,Ortaokul,Emekli,,Ortaokul,Evet,Ozel Sektor,2.0,Hayir,Evet,Diger,Hayir,Hayir,Evet,21.0
